country,SFTGcode,COW,risk_in_2019,risk_in_2019_20,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,durable.ln,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr,polity2.fl.2,polity2.fl.3
Botswana,BOT,571,0.002884,0.003035,0,0,1,0,0,0,0,3.970291914,14.72391613,5.477225575,0.030025194,0,1,3.970291914,0,0.41,0,0,4,1,4,0,1,1,0.892,0,0,0,0,0.389,-1.998395797,0,0,1
Poland,POL,290,0.002856,0.00289,0,1,0,0,1,0,0,4.615120517,17.44904838,1.949358869,0.035760441,1,1,3.33220451,0,0.12,0,1,4,0,4,0,1,1,0.8,0,1,0,0,1.632,-1.627913603,0,0,1
Bolivia,BOL,145,0.002813,0.00287,0,0,0,0,0,0,0,5.267858159,16.25682387,4.669047012,0.028130203,1,1,3.610917913,0,0.74,0,1,4,1,4,0,1,1,0.852,0,1,0,1,1.463,-2.323331911,0,0,1
Japan,JPN,740,0.002733,0.002671,0,0,0,1,0,0,0,7.214504414,18.64788701,1.341640786,-0.00018454,0,1,4.204692619,0,0.01,0,1,4,1,4,0,1,1,0.853,0,1,0,0,1.932,-2.982298488,0,0,1
Romania,RUM,360,0.002725,0.002798,0,1,0,0,1,0,0,4.955827058,16.78733232,2.469817807,0.027075704,1,1,3.135494216,0,0.31,0,1,4,0,4,0,1,1,0.838,0,1,0,0,0.473,-1.864907751,0,0,1
Swaziland,SWA,572,0.002673,0.001806,0,0,1,0,0,0,0,3.931825633,14.13297644,6.557438524,-0.001535486,0,1,3.828641396,1,0.06,0,1,1,1,2,0,1,0,0.521,0,0,0,1,0.685,-1.712900861,0,0,0
Israel,ISR,666,0.002626,0.003893,0,0,0,0,0,1,0,4.262679877,16.01756165,1.732050808,0.020590998,0,1,3.63758616,0,0.34,4.077537444,1,4,1,4,0,1,1,0.73,0,1,0,0,0.766,-2.31181746,0,0,1
Spain,SPN,230,0.002596,0.002528,0,0,0,0,1,0,0,6.267200549,17.65504806,1.58113883,0.01459878,1,1,3.713572067,0,0.42,0,1,4,2,4,0,1,1,0.859,0,1,0,0,1.202,-2.153523451,0,0,1
France,FRN,220,0.002592,0.002271,0,0,0,0,1,0,0,7.069874128,18.01367769,1.843908891,0.00753698,1,1,3.912023005,0,0.1,0,1,4,2,4,0,1,1,0.931,0,1,0,0,1.035,-2.207099936,0,0,1
Chile,CHL,155,0.002563,0.002388,0,1,0,0,0,0,0,5.303304908,16.74884365,2.48997992,0.02649039,1,1,3.401197382,1,0.19,0,1,4,1,4,0,1,1,0.925,0,1,0,1,0.15,-2.315224512,0,0,1
Bhutan,BHU,760,0.002562,0.002285,0,0,0,0,0,0,1,4.8978398,13.81117595,4.979959839,0.012199713,0,1,2.397895273,0,0.6,0,1,3,1,3,0,1,0,0.654,0,1,0,0,1.466,-2.058445474,0,0,1
Croatia,CRO,344,0.002514,0.002267,0,0,0,0,1,0,0,3.33220451,15.27348142,2,0.014995024,1,1,2.944438979,0,0.37,0,1,4,1,4,0,1,1,0.738,0,0,0,1,0.682,-1.692730237,0,0,1
Italy,ITA,325,0.002514,0.002206,0,0,0,0,1,0,0,5.062595033,17.91108787,1.61245155,0.00039479,1,1,4.262679877,0,0.11,0,1,4,1,4,0,1,1,0.965,0,1,0,0,1.835,-2.250370303,0,0,1
United Kingdom,UKG,200,0.002481,0.00253,0,0,0,0,1,0,0,6.180016654,18.00623988,1.897366596,0.004839783,0,1,4.934473933,0,0.12,0,1,4,1,4,0,1,1,0.954,0,1,0,0,1.075,-2.244353127,0,0,1
Guyana,GUY,110,0.00248,0.002193,0,0,0,0,0,0,0,3.970291914,13.83535038,5.00999002,0.021693888,1,1,3.295836866,0,0.62,0,0,4,1,4,0,1,1,0.884,0,0,0,1,0.879,-1.727271392,0,0,1
Timor-Leste,ETM,860,0.002352,0.002615,0,0,0,1,0,0,0,2.833213344,14.22370636,6.268971207,0.016512727,0,1,2.833213344,0,0.9,0,1,4,1,4,0,1,1,0.879,0,1,0,0,0.106,-2.737801789,0,0,1
El Salvador,SAL,92,0.002193,0.002074,0,1,0,0,0,0,0,5.18178355,15.70336654,3.435112807,0.014235212,1,1,3.555348061,0,0.2,0,1,4,1,4,0,1,1,0.687,0,1,0,0,-0.698,-1.985802094,0,0,1
Bulgaria,BUL,355,0.002174,0.002161,0,1,0,0,1,0,0,4.94875989,15.78995417,2.42899156,0.018714637,1,1,3.36729583,0,0.4,0,1,4,1,4,0,1,1,0.885,0,1,0,0,0.898,-1.430842145,0,0,1
Georgia,GRG,372,0.002099,0.002256,0,1,0,0,1,0,0,3.33220451,15.18730675,2.949576241,0.032199396,1,1,3.33220451,0,0.49,0,1,4,1,3,0,1,1,0.942,0,1,0,1,0.1,-1.487413834,0,0,1
Hungary,HUN,310,0.002079,0.001913,0,1,0,0,1,0,0,5.135798437,16.11002843,1.897366596,0.034037608,1,1,3.36729583,0,0.15,0,1,4,1,4,0,1,1,0.832,0,1,0,0,0.597,-1.129929841,0,0,1
Kuwait,KUW,690,0.002032,0.003053,0,0,0,0,0,1,0,4.060443011,15.28445794,2.588435821,0.003541328,0,1,4.007333185,0,0.66,0,0,2,1,2,0,1,0,0.518,0,1,0,1,-0.53,-1.794981985,0,0,0
Oman,OMA,698,0.002009,0.002016,0,0,0,0,0,1,0,5.910796644,15.43090888,3.130495168,0.010835667,0,1,4.127134385,1,0.44,0,1,0,1,2,0,1,0,0.323,0,1,0,1,-0.552,-1.618816784,0,0,0
Czech Republic,CZR,316,0.001976,0.001654,0,0,0,0,1,0,0,3.258096538,16.19208632,1.643167673,0.017697869,1,1,3.258096538,0,0.32,0,1,4,1,4,0,1,1,0.964,0,1,0,0,1.086,-1.254046148,0,0,1
Belarus,BLR,370,0.001946,0.001754,0,0,0,0,1,0,0,3.33220451,16.08133786,1.61245155,0.018457079,1,1,3.135494216,0,0.32,0,1,4,1,3,0,1,1,0.693,0,1,0,0,2.017,-1.338290733,0,0,0
Belgium,BEL,211,0.001932,0.001672,0,0,0,0,1,0,0,5.241747015,16.26274589,1.702938637,0.005171311,1,1,4.317488114,0,0.56,0,1,4,1,4,0,1,1,0.945,0,1,0,0,1.936,-1.082588503,0,0,1
Netherlands,NTH,210,0.001883,0.001384,0,0,0,0,1,0,0,6.11146734,16.66662385,1.816590212,0.014728228,1,1,4.304065093,0,0.11,0,1,4,1,4,0,1,1,0.939,0,1,0,0,1.957,-1.201951534,0,0,1
Mongolia,MON,712,0.001823,0.001476,0,0,0,1,0,0,0,4.682131227,15.03553142,3.741657387,0.050589858,1,1,3.295836866,0,0.37,0,1,4,2,4,0,1,1,0.956,0,1,0,1,0.819,-1.468669832,0,0,1
Greece,GRC,350,0.001816,0.001321,0,0,0,0,1,0,0,5.231108617,16.2014177,1.897366596,0.009263479,1,1,3.784189634,0,0.16,0,1,4,1,4,0,1,1,0.959,0,1,0,0,2.235,-2.059524795,0,0,1
Albania,ALB,339,0.00181,0.001574,0,1,0,0,1,0,0,4.672828834,14.94253983,2.792848009,0.026323586,1,1,3.091042453,0,0.22,0,1,4,1,4,0,1,1,0.822,0,1,0,0,-0.467,-1.989734096,0,0,1
Slovakia,SLO,317,0.001755,0.00134,0,0,0,0,1,0,0,3.258096538,15.54561185,2.144761059,0.027185939,1,1,3.258096538,0,0.25,0,1,4,1,3,0,1,1,0.864,0,1,0,0,1.113,-0.98229934,0,0,1
Jamaica,JAM,51,0.001701,0.001296,0,0,0,0,0,0,0,4.043051268,14.96426637,3.521363372,0.008619807,1,1,4.094344562,0,0.41,0,1,4,1,4,0,1,1,0.877,0,1,0,0,1.906,-2.015441701,0,0,1
Switzerland,SWZ,225,0.001694,0.001579,0,0,0,0,1,0,0,6.590301048,15.97652865,1.923538406,0.014258245,0,1,5.141663557,0,0.53,0,1,4,1,4,0,1,1,0.966,0,1,0,0,1.722,-1.514141766,0,0,1
Armenia,ARM,371,0.001689,0.001188,0,0,0,0,1,0,0,3.33220451,14.96956299,3.31662479,0.036176929,1,1,3.044522438,0,0.13,0,1,4,1,3,0,1,1,0.941,0,1,0,0,0.383,-1.816103611,0,0,1
Portugal,POR,235,0.001681,0.001103,0,0,0,0,1,0,0,6.775366091,16.15995559,1.760681686,0.010996168,1,1,3.761200116,0,0.05,0,1,4,1,4,0,1,1,0.966,0,1,0,0,1.956,-1.858219896,0,0,1
Macedonia,MAC,343,0.001662,0.001343,0,0,0,0,1,0,0,3.33220451,14.64727887,2.792848009,-0.006666667,1,1,2.833213344,0,0.5,0,1,4,1,3,0,1,1,0.744,0,1,0,1,-0.443,-1.016276666,0,0,1
Austria,AUS,305,0.001647,0.0012,0,0,0,0,1,0,0,4.615120517,16.01352919,1.702938637,0.015813043,1,1,4.290459441,0,0.11,0,1,4,1,3,0,1,1,0.935,0,1,0,0,0.992,-1.645551835,0,0,1
Trinidad and Tobago,TRI,52,0.001639,0.001307,0,0,0,0,0,0,0,4.043051268,14.30087383,4.049691346,-0.0009095,1,1,4.043051268,0,0.65,0,1,4,1,4,0,1,1,0.888,0,1,0,0,0.958,-0.021409829,0,0,1
Costa Rica,COS,94,0.001605,0.001174,0,0,0,0,0,0,0,5.288267031,15.46381227,2.75680975,0.015277076,1,1,4.605170186,0,0.24,0,1,4,1,4,0,1,1,0.945,0,1,0,0,0.208,-2.150109198,0,0,1
Cyprus,CYP,352,0.001593,0.001053,0,0,0,0,1,0,0,4.077537444,14.17051294,1.378404875,0.025265153,1,1,3.80666249,0,0.09,0,1,4,1,4,0,1,1,0.922,0,0,0,0,1.517,-1.41249758,0,0,1
Sweden,SWD,380,0.001562,0.001064,0,0,0,0,1,0,0,6.206575927,16.15055181,1.483239697,0.012762532,1,1,4.624972813,0,0.06,0,1,4,1,4,0,1,1,0.842,0,1,0,0,1.303,-1.809774504,0,0,1
Uruguay,URU,165,0.001562,0.001069,0,0,0,0,0,0,0,5.267858159,15.11394322,2.529822128,0.006673303,1,1,3.526360525,0,0.25,0,1,4,1,4,0,1,1,0.941,0,1,0,0,1.073,-2.716804761,0,0,1
New Zealand,NEW,920,0.001552,0.001261,0,0,0,1,0,0,0,4.718498871,15.44187366,2.167948339,0.016241565,1,1,4.955827058,0,0.4,0,1,4,2,4,0,1,1,0.937,0,1,0,0,1.437,-2.451118702,0,0,1
Mauritius,MAS,590,0.001494,0.001141,0,0,1,0,0,0,0,3.931825633,14.22194813,3.687817783,0.024423159,1,1,3.931825633,0,0.46,0,0,4,1,4,0,1,1,0.947,0,1,0,1,0.468,-1.763033854,0,0,1
Lithuania,LIT,368,0.001488,0.001079,0,0,0,0,1,0,0,3.33220451,14.91758403,1.816590212,0.022114487,1,1,3.33220451,0,0.32,0,1,4,1,4,0,1,1,0.767,0,1,0,0,1.071,-1.172231325,0,0,1
Latvia,LAT,367,0.001476,0.001202,0,0,0,0,1,0,0,3.33220451,14.58379594,1.816590212,0.03263078,1,1,3.33220451,0,0.59,0,1,4,2,4,0,1,1,0.949,0,1,0,0,1.355,-1.518444439,0,0,1
Denmark,DEN,390,0.001452,0.0008966,0,0,0,0,1,0,0,6.960347729,15.60529232,1.897366596,0.005598419,1,1,4.304065093,0,0.08,0,1,4,1,4,0,1,1,0.967,0,1,0,0,2.703,-1.660983262,0,0,1
Ireland,IRE,205,0.001426,0.0009789,0,0,0,0,1,0,0,4.574710979,15.43562588,1.760681686,0.060652909,1,1,4.584967479,0,0.12,0,1,4,1,4,0,1,1,0.949,0,1,0,0,1.274,-0.877405715,0,0,1
Solomon Islands,SOL,940,0.001421,0.0009694,0,0,0,1,0,0,0,3.713572067,13.70475459,4.135214626,0.021223045,0,1,2.708050201,0,0.11,0,1,4,1,4,0,1,0,0.821,0,1,0,0,0.204,-0.41596783,0,0,1
Finland,FIN,375,0.001415,0.0009608,0,0,0,0,1,0,0,4.615120517,15.55800131,1.183215957,0.006981945,1,1,4.317488114,0,0.13,0,1,4,1,4,0,1,1,0.94,0,1,0,0,1.978,-1.965436555,0,0,1
Norway,NOR,385,0.001412,0.0009239,0,0,0,0,1,0,0,4.736198448,15.52205358,1.449137675,0.00523885,1,1,4.304065093,0,0.06,0,1,4,1,4,0,1,1,0.949,0,1,0,0,2.392,-2.089187883,0,0,1
Estonia,EST,366,0.001329,0.0009345,0,0,0,0,1,0,0,3.33220451,14.2579393,1.449137675,0.025180832,1,1,2.944438979,0,0.51,0,1,4,1,4,0,1,1,0.949,0,1,0,0,2.259,-1.279493137,0,0,1
Slovenia,SLV,349,0.001297,0.0008574,0,0,0,0,1,0,0,3.33220451,14.64645416,1.303840481,0.030302608,1,1,3.33220451,0,0.22,0,1,4,1,4,0,1,1,0.919,0,1,0,0,1.7,-1.179180703,0,0,1
Montenegro,MNE,341,0.001275,0.0009876,0,0,0,0,1,0,0,2.564949357,13.67042722,1.516575089,0.033329051,1,1,2.564949357,0,0.7,0,1,4,1,4,0,1,1,0.721,0,1,0,1,0.028,-1.593436457,0,0,1
